employee_id,full_name,id_number,role,primary_site_id,shift_pattern,contract_ordinary_hours,employment_type
E1001,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1002,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1003,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1004,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1005,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1006,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1007,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1008,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1009,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1010,Charmaine Van Wyk,791220XXXX009,Kitchen Assistant,ST-01,day,45,Fixed-term
E1011,Gift September,000702XXXX010,Cleaner,ST-01,day,45,Permanent
E1012,Kagiso Sibiya,001202XXXX011,Driver,ST-04,day,45,Permanent
E1013,Given Sithole,000413XXXX012,Security Guard,ST-04,day,45,Permanent
E1014,Chantal Dlamini,980207XXXX013,Security Guard,ST-03,day,45,Permanent
E1015,Katlego Hendricks,900505XXXX014,Driver,ST-05,day,45,Permanent
E1016,Pieter Mahlangu,041214XXXX015,Supervisor,ST-04,day,45,Permanent
E1017,Mandla September,020605XXXX016,Security Guard,ST-05,day,45,Fixed-term
E1018,Andile Sithole,900518XXXX017,Driver,ST-01,day,45,Permanent
E1019,Lindiwe Dlamini,741107XXXX018,Kitchen Assistant,ST-05,day,45,Permanent
E1020,Lucky Van Wyk,020324XXXX019,Kitchen Assistant,ST-03,day,45,Fixed-term
E1021,Katlego Jacobs,881227XXXX020,Security Guard,ST-04,day,45,Permanent
E1022,Sipho Maluleke,711117XXXX021,Supervisor,ST-06,day,45,Fixed-term
E1023,Palesa Jacobs,021220XXXX022,Cleaner,ST-01,day,45,Permanent
E1024,Thabo Zulu,021124XXXX023,Cleaner,ST-01,day,45,Fixed-term
E1025,Refilwe Motaung,000917XXXX024,Driver,ST-02,day,45,Permanent
E1026,Mpho Molefe,040723XXXX025,Security Guard,ST-05,day,45,Permanent
E1027,Nomsa Sibiya,710617XXXX026,Cleaner,ST-06,day,45,Fixed-term
E1028,Sanele Ndlovu,040520XXXX027,Supervisor,ST-01,day,45,Fixed-term
E1029,Zanele Mahlangu,700715XXXX028,Kitchen Assistant,ST-04,day,45,Permanent
E1030,Sibusiso Molefe,950516XXXX029,Cleaner,ST-03,day,45,Permanent
E1031,Musa Molefe,840221XXXX030,Driver,ST-05,day,45,Permanent
E1032,Chantal Ndlovu,811006XXXX031,Kitchen Assistant,ST-01,day,45,Fixed-term
E1033,Pieter Pillay,910212XXXX032,Supervisor,ST-01,day,45,Fixed-term
E1034,Sanele Fourie,040525XXXX033,Driver,ST-02,day,45,Fixed-term
