employee_id,full_name,id_number,bank_name,branch_code,account_number,account_type,tax_number,hourly_rate,pay_frequency
E1001,Mpho Mabaso,040402XXXX000,Capitec Bank,470010,912509398,Savings,3741215870,34.4,Monthly
E1002,Xolani Ngcobo,811007XXXX001,Standard Bank,051001,996224844,Savings,2276361822,35.71,Monthly
E1003,Portia Mahlangu,840820XXXX002,Capitec Bank,470010,845041493,Savings,3527961026,32.41,Monthly
E1004,Chantal Adams,020310XXXX003,FNB,250655,317431295,Savings,2141034629,30.39,Monthly
E1005,Lerato Mabaso,020903XXXX004,Absa,632005,854889950,Cheque,3002144087,31.56,Monthly
E1006,Shaun Zulu,020703XXXX005,Standard Bank,051001,168555597,Cheque,1989941651,34.06,Monthly
E1007,Sibusiso Baloyi,020521XXXX006,FNB,250655,737541949,Savings,2542486268,31.29,Monthly
E1008,Nadia Fourie,811026XXXX007,FNB,250655,221073080,Savings,3878323568,34.62,Monthly
E1009,Palesa Sibiya,010515XXXX008,TymeBank,678910,166110452,Cheque,1789688827,38.41,Monthly
E1010,Charmaine Van Wyk,791220XXXX009,FNB,250655,637331170,Cheque,2944336810,29.51,Monthly
E1011,Gift September,000702XXXX010,Standard Bank,051001,455271781,Savings,2479667053,33.44,Monthly
E1012,Kagiso Sibiya,001202XXXX011,FNB,250655,387525722,Savings,3242519433,41.39,Monthly
E1013,Given Sithole,000413XXXX012,Capitec Bank,470010,301598671,Savings,2151464480,34.72,Monthly
E1014,Chantal Dlamini,980207XXXX013,FNB,250655,414814608,Cheque,2909176174,31.48,Monthly
E1015,Katlego Hendricks,900505XXXX014,Absa,632005,208271595,Cheque,2502756854,44.06,Monthly
E1016,Pieter Mahlangu,041214XXXX015,African Bank,430000,537489369,Savings,3642267606,56.78,Monthly
E1017,Mandla September,020605XXXX016,Capitec Bank,470010,471159995,Cheque,3000604799,32.58,Monthly
E1018,Andile Sithole,900518XXXX017,Capitec Bank,470010,946409955,Cheque,2135937923,44.21,Monthly
E1019,Lindiwe Dlamini,741107XXXX018,Capitec Bank,470010,959987192,Savings,1462732830,34.13,Monthly
E1020,Lucky Van Wyk,020324XXXX019,Capitec Bank,470010,724367120,Savings,3013900042,35.4,Monthly
E1021,Katlego Jacobs,881227XXXX020,Capitec Bank,470010,164276892,Savings,3119510302,37.82,Monthly
E1022,Sipho Maluleke,711117XXXX021,Capitec Bank,470010,939472099,Cheque,3277818902,58.21,Monthly
E1023,Palesa Jacobs,021220XXXX022,Nedbank,198765,518899235,Cheque,2486882390,32.63,Monthly
E1024,Thabo Zulu,021124XXXX023,FNB,250655,815753504,Transmission,2267313101,32.77,Monthly
E1025,Refilwe Motaung,000917XXXX024,Absa,632005,233780523,Cheque,2701596202,37.93,Monthly
E1026,Mpho Molefe,040723XXXX025,Capitec Bank,470010,592283797,Cheque,1046698388,37.02,Monthly
E1027,Nomsa Sibiya,710617XXXX026,TymeBank,678910,183830326,Savings,3519251173,29.33,Monthly
E1028,Sanele Ndlovu,040520XXXX027,Capitec Bank,470010,926623714,Savings,3762963425,49.51,Monthly
E1029,Zanele Mahlangu,700715XXXX028,Standard Bank,051001,868462478,Savings,2479585458,32.47,Monthly
E1030,Sibusiso Molefe,950516XXXX029,Capitec Bank,470010,549053386,Savings,2298915130,32.64,Monthly
E1031,Musa Molefe,840221XXXX030,Standard Bank,051001,132603620,Cheque,1454968212,35.91,Monthly
E1032,Chantal Ndlovu,811006XXXX031,FNB,250655,491661153,Savings,3469407455,31.29,Monthly
E1033,Pieter Pillay,910212XXXX032,Nedbank,198765,919541735,Savings,3747540747,49.12,Monthly
E1034,Sanele Fourie,040525XXXX033,Absa,632005,404175699,Savings,3628791613,40.45,Monthly
E1035,Tshepo Motaung,030204XXXX034,Absa,632005,827624455,Transmission,1081279839,31.03,Monthly
E1036,T. Motaung,030204XXXX034,Absa,632005,827624455,Transmission,1081279839,31.03,Monthly
E1037,Sipho Nkosi,750605XXXX035,Capitec Bank,470010,832608277,Savings,2573157340,31.65,Monthly
E1038,Tshepo Molefe,031128XXXX036,Capitec Bank,470010,758456789,Savings,3941030266,36.95,Monthly
E1039,Pieter Naidoo,021215XXXX037,FNB,250655,903916491,Cheque,3187587559,31.58,Monthly
E1040,Sindiswa Naidoo,870314XXXX038,Standard Bank,051001,801887597,Savings,3530050741,49.58,Monthly
E1041,Yusuf Mavuso,020515XXXX039,FNB,250655,888569530,Savings,3984982394,43.32,Monthly
E1042,Pieter Khumalo,860809XXXX040,Capitec Bank,470010,451906376,Transmission,1257808855,30.37,Monthly
E1043,Portia Sithole,950223XXXX041,Absa,632005,665916829,Cheque,1142832090,35.09,Monthly
E1044,Mandla Sithole,700821XXXX042,Standard Bank,051001,817556065,Savings,2962483801,34.16,Monthly
E1045,Dineo Mavuso,800123XXXX043,FNB,250655,415631990,Cheque,2463199379,35.66,Monthly
E1046,Lindiwe Mabaso,020217XXXX044,Nedbank,198765,231880518,Savings,1375692993,28.41,Monthly
E1047,Riaan Tshabalala,830204XXXX045,Capitec Bank,470010,631719218,Cheque,3276385740,42.51,Monthly
E1048,Neo Ngcobo,040327XXXX046,Capitec Bank,470010,188026015,Cheque,1890102012,50.51,Monthly
E1049,Anele Mahlangu,020409XXXX047,Nedbank,198765,610813080,Savings,2255167465,52.7,Monthly
E1050,Precious Mthembu,961116XXXX048,Standard Bank,051001,470202673,Savings,3932774487,34.54,Monthly
E1051,Johannes Mavuso,920618XXXX049,Standard Bank,051001,509404961,Cheque,1183521398,35.29,Monthly
E1052,Pieter Mabaso,750806XXXX050,Absa,632005,871395965,Cheque,1082068697,57.92,Monthly
E1053,Precious Fourie,850726XXXX051,African Bank,430000,109247145,Savings,1522304034,33.09,Monthly
E1054,Thabo Motaung,710312XXXX052,FNB,250655,618578295,Savings,2122519221,32.87,Monthly
E1055,Lindiwe Nkosi,771123XXXX053,Standard Bank,051001,922604806,Cheque,2276174703,35.07,Monthly
E1056,Sindiswa Khumalo,840420XXXX054,Capitec Bank,470010,260541332,Savings,2899500046,58.49,Monthly
E1057,Bongani Dlamini,890520XXXX055,Capitec Bank,470010,313259453,Savings,3739348736,38.73,Monthly
E1058,Ayanda Naidoo,811002XXXX056,FNB,250655,787547547,Savings,1392591222,53.15,Monthly
E1059,Kagiso Radebe,761012XXXX057,African Bank,430000,674534878,Savings,2269617254,35.93,Monthly
E1060,Gift Naidoo,720612XXXX058,Capitec Bank,470010,497943086,Cheque,2570361538,51.84,Monthly
